ID,Name,Address,Address2,City,State,Zip,Geocodable,Latitude,Longitude,Website,Phone,Email
21,All Souls Interfaith Gathering,291 Bostwick Rd,,Shelburne,VT,05482,291 Bostwick Rd Shelburne VT,44.3681489,-73.2409606,http://www.allsoulsinterfaith.org,(802)  985-3819,
22,Alldays & Onions,519 Main St,,Bennington,VT,05201,519 Main St Bennington VT,42.877842,-73.193008,http://www.facebook.com/pages/Alldays-Onions/125886117465906,(802) 447-0043,aorestaurant@aol.com
23,American Flatbread-Lawson Lane Stage,115 Saint Paul St,,Burlington,VT,05401,115 Saint Paul St Burlington VT,44.476553,-73.214154,http://americanflatbread.com/,(802) 861 2199,
24,American Legion Post 5,32 Linden St,,Brattleboro,VT,05301,32 Linden St Brattleboro VT,42.85607,-72.56122,http://www.eventective.com/USA/Vermont/Brattleboro/236335/American-Legion-Post-5.html,,
25,Arkell Pavilion,P.O. Box 617 West Rd,,Manchester,VT,05254,P.O. Box 617 West Rd Manchester VT,43.1874779,-73.070264,http://www.svac.org/arkell_pavilion.html,(802) 362-1405,info@svac.org
26,Arrowhead Golf Course,350 Murray Ave,,Milton,VT,05468,350 Murray Ave Milton VT,44.686025,-73.159325,http://www.thegolfcourses.net/golfcourses/VT/17782.htm,,
27,Arvad's Waitsfield,4740 Main St,,Waitsfield,VT,05676,4740 Main St Waitsfield VT,44.188572,-72.830692,http://www.arvads.com,(802) 244-8973,
28,Ashley's,29 Merchant's Row,,Randolph,VT,05060,29 Merchant's Row Randolph VT,43.922525,-72.663883,,(802) 728-9182,
29,AudionX,60 Spring St,,Swanton,VT,05488,60 Spring St Swanton VT,44.926456,-73.119496,http://www.audionx.com/,(802) 868-1081,
30,B.U. Emporium,163 Porter's Point Rd,,Colchester,VT,05446,163 Porter's Point Rd Colchester VT,44.537824,-73.250247,http://business.vermonttoday.com/B+U+Emporium.393208.87868027.home.html,(802) 658-4292,
31,Back Inn Time,68 Fairfield St,,St. Albans,VT,05478,68 Fairfield St St. Albans VT,44.8088679,-73.0790948,http://www.backinntime.us,(802) 527-5116,
32,Back To Vermont Pub,158 Main St,,Poultney,VT,05764,158 Main St Poultney VT,43.517159,-73.2360379,,,
33,Backstage Pub and Restaurant,60 Pearl St,,Essex Junction,VT,05452,60 Pearl St Essex Junction VT,44.492617,-73.118056,,(802) 878-5494,
34,Backstreet,17 Hudson St,,St. Albans,VT,05478,17 Hudson St St. Albans VT,44.81371,-73.083722,,(802) 527-2400,
35,Bad Girls Cafe,38 Main St,,Johnson,VT,05656,38 Main St Johnson VT,44.635717,-72.679858,,(802) 635.7025,
36,Banana Winds Cafe & Pub,1 Market Pl # 13,,Essex Junction,VT,05452,1 Market Pl # 13 Essex Junction VT,44.506527,-73.132523,,(802) 879-0752,
37,Barnard Inn Restaurant,558 Vt Rte 12,,Barnard,VT,05031,558 Vt Rte 12 Barnard VT,43.6638753,-72.5735378,http://barnardinn.com/,(802) 234-9961,
38,Barnard Town Hall,115 North Rd,P.O. Box 274,Barnard,VT,05031,115 North Rd Barnard VT,43.7301829,-72.618385,http://bavt.org/pages/barnardtownhall.html,(802) 234-9211,
39,Barnhouse Bed & Breakfast,PO Box 326,,Shelburne,VT,05482,PO Box 326 Shelburne VT,44.3806065,-73.227626,http://www.urpampered.com/,(802)  985-3258,vtwellness@yahoo.com
40,Barre Municipal Auditorium,20 Auditorium Hl,,Barre,VT,05641,20 Auditorium Hl Barre VT,44.20327,-72.503549,http://www.barrecity.org/index.asp?Type=B_BASIC&SEC={D20F27D2-E70C-4010-BDFF-1C82D64697FE},(802) 476-0256,
41,Barre Opera House,6 North Main St,,Barre,VT,05641,6 North Main St Barre VT,44.196835,-72.501893,http://www.barreoperahouse.org,(802) 476-8188,carol@barreoperahouse.org
42,Barrows House,3156 Route 30,,Dorset,VT,05251,3156 Route 30 Dorset VT,43.2525602,-73.0960969,http://www.barrowshouse.com/,(802) 867-4455,
43,Barsen House Inn,53 Tri-town Rd,,Vergennes,VT,05491,53 Tri-town Rd Vergennes VT,44.081264,-73.395203,http://www.barsenhouseinn.com/,(802) 759-2646,
44,Basin Harbor Club,4800 Basin Harbor Rd,,Vergennes,VT,05491,4800 Basin Harbor Rd Vergennes VT,44.1970584,-73.3619728,http://www.basinharbor.com/,(802) 475-2311,info@basinharbor.com
45,BCA Center,135 Church St,,Burlington,VT,05401,135 Church St Burlington VT,44.476625,-73.212827,http://www.burlingtoncityarts.org/BCACenter/,(802) 865-7166,clynch@ci.burlington.vt.us
46,Beckwood Pond Vermont Inn,1107 Route 5,,Putney,VT,05346,1107 Route 5 Putney VT,43.0371736,-72.4659831,http://www.inntravels.com/usa/vt/beckwoodpond.html,(802) 254-5900,beckwood@sover.net
47,Bee's Knees,82 Lower Main St,,Morrisville,VT,05661,82 Lower Main St Morrisville VT,44.561758,-72.600084,http://www.thebeesknees-vt.com,(802) 888-7889,sharondeitz@pshift.com
48,Bellows Falls Opera House,7 Square,,Bellows Falls,VT,05101,7 Square Bellows Falls VT,43.1341663,-72.4447372,http://www.bfoperahouse.com,(802) 463-4766,edhoward@rockbf.org
49,Best Western New Englander Motor Inn,220 Northside Dr,,Bennington,VT,05201,220 Northside Dr Bennington VT,42.900063,-73.2112269,http://book.bestwestern.com/bestwestern/US/VT/Bennington-hotels/BEST-WESTERN-PLUS-New-Englander-Motor-Inn/Hotel-Overview.do,(802) 442-6311,
50,Big Picture,48 Carroll Rd,,Waitsfield,VT,05673,48 Carroll Rd Waitsfield VT,44.188415,-72.832872,http://www.bigpicturetheater.info/,(802) 496-8994,
51,Biltmore Grill,115 Saint Paul St,,Burlington,VT,05401,115 Saint Paul St Burlington VT,44.476553,-73.214154,,(802) 863-9222,
52,Birch Ridge Inn,37 Butler Rd,,Killington,VT,05751,37 Butler Rd Killington VT,43.6775677,-72.7798247,http://www.birchridge.com/,(802) 422-4293,
53,Black Diamond Barbeque,"P.O. 2664 Lake Elmore, Vermont 05657",,Lake Elmore,VT,05657,"P.O. 2664 Lake Elmore, Vermont 05657 Lake Elmore VT",44.5393031,-72.5223697,,(802) 888-2275,info@blackdiamondbarbeque.com
54,Black Door Bar and Bistro,44 Main St,,Montpelier,VT,05602,44 Main St Montpelier VT,44.259395,-72.5762815,http://www.blackdoorvt.com,(802)-223-7070,blackdoorvt@aol.com
55,Black River Brew Pub,207 Main St,,Ludlow,VT,05149,207 Main St Ludlow VT,43.396173,-72.70239,http://www.sandcreekbrewing.com/,(802) 228-3100,
56,Blue Tooth,1840 Sugarbush Access Rd,,Warren,VT,05674,1840 Sugarbush Access Rd Warren VT,44.145608,-72.879305,http://www.sugarbush.com/,(802) 583-6300,
57,Blueberry Hill Inn,1307 Goshen Ripton Rd,,Goshen,VT,05733,1307 Goshen Ripton Rd Goshen VT,43.890594,-73.009178,http://www.blueberryhillinn.com,(802) 247-6735,
58,Boccelli's On The Canal,46 Canal St,,Bellows Falls,VT,05101,46 Canal St Bellows Falls VT,43.1351852,-72.4455757,http://www.boccellisonthecanal.com/,(802) 460-1190,boccelli@sover.net
59,Bonz Smokehouse & Grill,97 Portland St,,Morrisville,VT,05661,97 Portland St Morrisville VT,44.563156,-72.598831,http://www.myspace.com/bonzsmokehouse,(802) 888-6283,
60,Boulder Beach State Park,2278 Boulder Beach Rd,,Groton,VT,05046,2278 Boulder Beach Rd Groton VT,44.277355,-72.262222,http://www.vtstateparks.com/htm/boulder.htm,,
61,Boys and Girls Club of Brattleboro,17 Flat St,,Brattleboro,VT,05301,17 Flat St Brattleboro VT,42.8516491,-72.55849,http://www.bgcbrattleboro.com/,(802) 254-5990,rcbgc@sover.net
62,Boys and Girls Club of Burlington,62 Oak St,,Burlington,VT,05401,62 Oak St Burlington VT,44.490017,-73.21124,http://www.bandgclub.org,(802) 864-5263,jthompson@bandgclub.org
63,Bradford Town Hall,172 North Main St,PO Box 339,Bradford,VT,05033,172 North Main St Bradford VT,43.9975433,-72.1265972,http://www.bradford-vt.us/page/town_clerk.php,(802) 222-4727,bradclrk@sover.net
64,Branbury State Park,3570 Lake Dunmore Rd,,Salisbury,VT,05733,3570 Lake Dunmore Rd Salisbury VT,43.9056834,-73.0671002,http://www.vtstateparks.com/htm/branbury.htm,(802) 247-5925,
65,Brandon Inn,20 Park St,,Brandon,VT,05733,20 Park St Brandon VT,43.798492,-73.087171,http://www.historicbrandoninn.com/,,
66,Brandon Motor Lodge,2095 Franklin St,,Brandon,VT,05733,2095 Franklin St Brandon VT,43.778912,-73.058853,,(800) 675-7614,
67,Brattleboro Park System,230 Main St,,Brattleboro,VT,05301,230 Main St Brattleboro VT,42.85528,-72.56057,http://www.brattleboro.org/,(802) 254-4541,
68,Brattleboro Senior Center,207 Main St,,Brattleboro,VT,05301,207 Main St Brattleboro VT,42.85463,-72.55852,http://www.brattleboro.org,(802) 257-7570,
69,Breakwater Cafe & Grill,1 King St,,Burlington,VT,05401,1 King St Burlington VT,44.474869,-73.220031,,(802) 658-6276,
70,Brewski,Route 108,,Jeffersonville,VT,05464,Route 108 Jeffersonville VT,44.6152483,-72.8155018,,(802) 644-5432,
71,Bridport Town Hall,82 Crown Point Rd,P.O. Box 27,Bridport,VT,05734,82 Crown Point Rd Bridport VT,43.984423,-73.315267,,(802) 758-2483,bridporttown@gmavt.net
72,Briggs Opera House,2 N. Main St,PO Box 4287,White River Junction,VT,05001,2 N. Main St White River Junction VT,43.648509,-72.318728,http://www.northernstage.org,(802) 296-7000,info@northernstage.org
73,Brighton Town Hall,49 Mill St,PO Box 377,Island Pond,VT,05846,49 Mill St Island Pond VT,44.8145405,-71.8802009,,(802) 723-4405,Brightonclerk@adelphia.net
74,Brittany Motel,Historic Route 7A,,Manchester,VT,05254,Historic Route 7A Manchester VT,43.1685998,-73.0669779,http://brittanymotel.net/,,
75,Bromley Mountain Ski Resort,3984 Vermont Route 11,,Peru,VT,05152,3984 Vermont Route 11 Peru VT,43.2134334,-72.9332932,http://www.bromley.com/,(802) 824-5522,info@bromley.com
76,Brownstone Tavern,132 Library Ave,,Rutland,VT,05701,132 Library Ave Rutland VT,43.6118296,-72.9866405,,(802) 775-8098,
77,Burke Mountain Ski Resort,223 Sherburne Lodge Rd,,East Burke,VT,05832,223 Sherburne Lodge Rd East Burke VT,44.5878859,-71.9161441,http://www.skiburke.com/,(802) 626-7300,
78,Burlington City Arts,149 Church St,,Burlington,VT,05401,149 Church St Burlington VT,44.476303,-73.212821,http://www.burlingtoncityarts.com,(802) 865-7166,
79,Butler's Restaurant,70 Essex Way,,Essex Junction,VT,05452,70 Essex Way Essex Junction VT,44.501583,-73.078732,,(802) 764-1413,
80,Button Bay State Park,5 Button Bay State Park,,Vergennes,VT,05491,5 Button Bay State Park Vergennes VT,44.1829084,-73.3503374,http://www.vtstateparks.com/htm/buttonbay.htm,(802) 475-2377,
81,Cafe Provence,11 Center St,,Brandon,VT,05733,11 Center St Brandon VT,43.7986393,-73.0883268,http://www.cafeprovencevt.com/,(802) 247-9997.,
82,Cafe Shelburne,5573 Shelburne Rd,,Shelburne,VT,05482,5573 Shelburne Rd Shelburne VT,44.3764309,-73.2288279,http://www.cafeshelburne.com/,(802)  985-3939,
83,Cafe Sweet Basil,32 Depot St,,Lyndonville,VT,05851,32 Depot St Lyndonville VT,44.5349239,-72.004578,http://cafesweetbasil.com/,,drobarts@hotmail.com
84,Caffe Lena,47 Phila St,P.O. Box  245,Saratoga Springs,NY,12866,47 Phila St Saratoga Springs NY,43.0805205,-73.7833362,http://www.caffelena.org,(518) 583-0022,sarahcaffelena.org
85,Calais Town Hall,3120 Pekin Brook Rd,,Calais,VT,05650,3120 Pekin Brook Rd Calais VT,44.36867,-72.467992,,(802) 456-8720,
86,Camp Abnaki,1252 Abnaki Rd,,North Hero,VT,05474,1252 Abnaki Rd North Hero VT,44.766335,-73.309875,http://www.campabnaki.org/,(802) 372-8275,
87,Camp Plymouth State Park,2008 Scout Camp Rd,,Ludlow,VT,05149,2008 Scout Camp Rd Ludlow VT,43.475918,-72.695297,,(802) 228-2025,
88,Candeleros Southwest Grill,24 Wales St,,Rutland,VT,05701,24 Wales St Rutland VT,43.6072879,-72.977455,,,
89,Capitol Grounds,45 State St,,Montpelier,VT,05602,45 State St Montpelier VT,44.2605539,-72.5767449,http://www.capitolgrounds.com,(802) 223-7800,bob@capitolgrounds.com
90,Capitol Plaza Hotel & Conference Center,100 State St,,Montpelier,VT,05602,100 State St Montpelier VT,44.260261,-72.57813,http://www.capitolplaza.com/,(802) 223-5252,
91,Carpenter & Main Restaurant,326 Main St,,Norwich,VT,05055,326 Main St Norwich VT,43.715027,-72.308334,http://www.carpenterandmain.com/,,
92,Castleton State College,62 Alumni Dr,,Castleton,VT,05443,62 Alumni Dr Castleton VT,43.609245,-73.1779789,http://www.castleton.edu/,(802) 468-5611,
93,Catering By Dale,336 Martindale Rd,,Shelburne,VT,05482,336 Martindale Rd Shelburne VT,44.417377,-73.207008,http://www.cateringbydale.com,(802) 985-3871,
94,Celebration Fireworks of Vermont,P.O. Box 2007,,Georgia,VT,05468,P.O. Box 2007 Georgia VT,44.7136111,-73.1105556,http://celebrationfireworksvt.com/services.htm,(802) 524-7063,
95,Center Street Alley,Center St,,Rutland,VT,05701,Center St Rutland VT,43.6067023,-72.9773849,http://www.rutlanddowntown.com/2011/02/center-street-alley/,,
96,Centre Congregational Church,193 Main St,,Brattleboro,VT,05301,193 Main St Brattleboro VT,42.8542,-72.55848,http://www.bmcvt.org/,(802) 257-4523,
97,Chaffee Center for the Visual Arts,16 South Main St,,Rutland,VT,05701,16 South Main St Rutland VT,43.607708,-72.971718,http://www.chaffeeartcenter.org/,(802) 775-0356,
98,Chalet Killington,2685 Killington Rd,,Killington,VT,05751,2685 Killington Rd Killington VT,43.635741,-72.790068,http://www.chaletkillington.com/,(802) 422-3451,
99,Champlain Valley Exposition,105 Pearl St,PO Box 209,Essex Junction,VT,05453,105 Pearl St Essex Junction VT,44.497531,-73.120365,http://www.cvfair.com/,(802) 878-5545,info@cvfair.com
100,Chandler Music Hall,71-73 Main St,,Randolph,VT,05060,71-73 Main St Randolph VT,43.918831,-72.668098,http://www.chandler-arts.org/,(802) 728-9878,president@chandler-arts.org
101,Charity's Tavern,8 Killington Rd,,Killington,VT,05751,8 Killington Rd Killington VT,43.6679783,-72.8036857,http://www.charitysrestaurant.com/,(802) 422-3800,
102,Charlie B's Pub & Restaurant,1746 Mountain Rd,PO Box 369,Stowe,VT,05672,1746 Mountain Rd Stowe VT,44.4741928,-72.7118583,http://www.stoweflake.com/,(802) 253-7355,info@stoweflake.com
103,Charlie Os,70 Main St,,Montpelier,VT,05602,70 Main St Montpelier VT,44.259904,-72.5757603,,(802) 223-6820,
104,Chef's Table,118 Main St,,Montpelier,VT,05602,118 Main St Montpelier VT,44.260935,-72.574978,http://www.necidining.com/chefs-table,(802) 229.9202,
105,Chittenden Town Hall,337 Holden Rd,PO Box 89,Chittenden,VT,05737,337 Holden Rd Chittenden VT,43.7073729,-72.950984,,(802) 483-6647,slabcity@together.net
106,Christ Church,64 State St,,Montpelier,VT,05602,64 State St Montpelier VT,44.260291,-72.577634,http://www.christchurchvt.org/,,
107,Christophe's On The Green,5 N Green St,,Vergennes,VT,05491,5 N Green St Vergennes VT,44.1680699,-73.2520214,http://chowhound.chow.com/topics/164374,,
108,Church of Our Saviour,316 Mission Farm Rd,,Killington,VT,05751,316 Mission Farm Rd Killington VT,43.619598,-72.757095,http://www.dioceseofvermont.org/Churches/Killington.html,,
109,Churchill House Inn,3128 Forest Dale Rd,,Brandon,VT,05733,3128 Forest Dale Rd Brandon VT,43.836078,-73.041949,,(802) 247-3078,
110,Cider House BBQ and Pub,1675 US Route 2,PO Box 34,Waterbury,VT,06701,1675 US Route 2 Waterbury VT,44.3126942,-72.7211397,http://www.ciderhousevt.com/,,
111,City Hall Park,City Hall Park,,Burlington,VT,05406,City Hall Park Burlington VT,44.4764063,-73.2135314,http://www.burlingtonvt.gov/,,
112,City Limits,14 Green St,,Vergennes,VT,05491,14 Green St Vergennes VT,44.1677775,-73.2517852,,(802) 877-6919,
113,Claire's Restaurant and Bar,41 South Main St,,Hardwick,VT,05843,41 South Main St Hardwick VT,44.5040059,-72.366985,http://www.clairesvt.com/,(802) 472-7053,newvermontcooking@yahoo.com
114,Clear River Inn,2614 Vermont 100,,Pittsfield,VT,05762,2614 Vermont 100 Pittsfield VT,43.754733,-72.819739,http://www.clearriverinnvt.com/,(802) 626-3207,
115,Club Metronome,188 Main St,,Burlington,VT,05401,188 Main St Burlington VT,44.47606,-73.2117,http://www.clubmetronome.com,(802) 658-4771,alex@clubmetronome.com
116,Club Vertigo,1 Scale Ave Bldg 10,,Rutland,VT,05701,1 Scale Ave Bldg 10 Rutland VT,43.598022,-72.974838,,(802) 558-5979,info@clubvertigo1.com
117,Cobbweb,Sandy Birch Rd,,Georgia,VT,05468,Sandy Birch Rd Georgia VT,44.6971869,-73.1402587,,(802) 849-6945,
118,Colatina Exit,164 Main St,PO Box 316,Bradford,VT,05033,164 Main St Bradford VT,43.9053468,-72.1471952,http://colatinaexit.com/,(802) 222-9008,
119,College Of St. Joseph,71 Clement Rd,,Rutland,VT,05701,71 Clement Rd Rutland VT,43.601185,-73.000288,http://www.csj.edu/,,
120,Combes Family Inn Bed and Breakfast,953 East Lake Rd,,Ludlow,VT,05149,953 East Lake Rd Ludlow VT,43.453176,-72.694846,,(802) 228-8799,
121,Comfort Inn & Suites,703 US Route 5 South,,St. Johnsbury,VT,05819,703 US Route 5 South St. Johnsbury VT,44.4019261,-72.0222074,http://www.vermontvacationland.com/vermont-site-map.asp,(866) 464-2408,VermontTajMahal@aol.com
122,Comfort Inn at Maplewood,213 Paine Turnpike North,,Montpelier,VT,05602,213 Paine Turnpike North Montpelier VT,44.213413,-72.576363,http://www.comfortinnsuites.com/,(802) 229-2222,
123,Comfort Inn Trolley Square,19 Allen St,,Rutland,VT,05701,19 Allen St Rutland VT,43.596603,-72.968086,http://www.trails.com/comfort-inn-trolley-square-hotel-8427.html,,
124,Contois Auditorium,149 Church St,,Burlington,VT,05401,149 Church St Burlington VT,44.476303,-73.212821,,(802) 865-7166,
125,Copper Kettle Bed and Breakfast,22 West Hill Rd,,Putney,VT,05346,22 West Hill Rd Putney VT,42.9886434,-72.5324232,http://www.copperkettle.net/,(802) 387-4040,info@copperkettle.net
126,Cornwall Orchards Bed & Breakfast,1364 Route 30,,Middlebury,VT,05753,1364 Route 30 Middlebury VT,43.9797333,-73.2047637,http://www.cornwallorchards.com/,(802) 462-2272,
127,Cortina Inn & Resort,103 US Route 4,,Killington,VT,05751,103 US Route 4 Killington VT,43.65833,-72.872377,http://www.cortinainn.com/,(802) 772-7118,
128,Cottage At Junction Hill,P O Box 428,,Jeffersonville,VT,05464,P O Box 428 Jeffersonville VT,44.6439391,-72.8292945,http://www.selectvermontinns.com/camping.php,,
129,Country Club Of Barre,142 Drake Rd,,Barre,VT,05641,142 Drake Rd Barre VT,44.2495018,-72.4636097,http://www.ccofbarre.net/,(802) 476-7658,ccofbarre@pshift.com
130,Courtyard by Marriott - Middlebury,309 Court St,,Middlebury,VT,05753,309 Court St Middlebury VT,44.003063,-73.1529089,http://www.middleburycourtyaRdcom/,(802) 388-7600,
131,Creamery  Restaurant,46 Hill St,,Danville,VT,05828,46 Hill St Danville VT,44.412244,-72.140058,,(802) 684-3616,
132,Cuzzin's Nightclub,39 Mount Snow Rd,,Dover,VT,05356,39 Mount Snow Rd Dover VT,42.969764,-72.896119,,(800) 245-7669,
133,CVU,369 CVU Rd,,Hinesburg,VT,05461,369 CVU Rd Hinesburg VT,44.344147,-73.110085,,(802) 482-7194,access@cvuhs.org
134,D.A.R. State Park,6750 Vt Route 17 W,,Vergennes,VT,05491,6750 Vt Route 17 W Vergennes VT,44.053616,-73.413033,http://www.vtstateparks.com/htm/dar.htm,,
135,Daily Planet,15 Center St,,Burlington,VT,05401,15 Center St Burlington VT,44.477776,-73.211669,,(802) 862-9647,
136,Dalem's Chalet,78 South St,,Brattleboro,VT,05301,78 South St Brattleboro VT,42.850844,-72.599862,http://www.dalemschalet.com/,(802) 254-4323,info@dalemschalet.com
137,Dan's Place,31 Main St,,Bristol,VT,05443,31 Main St Bristol VT,44.1329551,-73.077405,https://plus.google.com/111911631689561115750/about?gl=us&hl=en,(802) 453-2774,
138,Days Inn Barre,173-175 South Main St,,Barre,VT,05641,173-175 South Main St Barre VT,44.1366798,-72.6591595,http://www.daysinn.com/DaysInn/control/Booking/property_info?propertyId=04080,(802) 476-6678,
139,Days Inn Burlington,124 College Parkway,,Colchester,VT,05446,124 College Parkway Colchester VT,44.49278,-73.168056,http://www.daysinn.com/DaysInn/control/Booking/property_info?propertyId=04873&as_srp=SP2&cid=carat_search-Days_Inn,(802) 655-0900,
140,Deacon's Den,Rt 100,,West Dover,VT,05356,Rt 100 West Dover VT,43.7907016,-72.7614485,http://www.southvermont.com/westdover/deacons/,(802) 464-9361,
141,Deer Run Motor Inn,80 Deer Run Loop,,Jeffersonville,VT,05464,80 Deer Run Loop Jeffersonville VT,44.6495423,-72.820297,http://www.deerrunmotorinn.com/,(802) 644-8866,
142,Destiny Nightclub,Rt. 5,,Ascutney,VT,05030,Rt. 5 Ascutney VT,43.4087759,-72.4074529,,(802) 674-6671,
143,Dibden Center For The Arts,337 College Hill,,Johnson,VT,05656,337 College Hill Johnson VT,44.641575,-72.671707,http://www.jsc.edu/,(802) 635-2356,Web.Editor@jsc.edu
144,Diversity Studios,115 College St,,Burlington,VT,05401,115 College St Burlington VT,44.476831,-73.215192,http://www.diversitystudios.com/Welcome_to_Diversity_Studios_in_Burlington.html,(802) 865-2787,info@diversitystudios.com
145,Dove Tail Inn,3370 Vt Route 30,,Dorset,VT,05251,3370 Vt Route 30 Dorset VT,43.2550036,-73.0989381,http://www.dovetailinn.com/,(802) 867-5747,
146,Dunmore Acres,2618 Lake Dunmore Rd,,Brandon,VT,05733,2618 Lake Dunmore Rd Brandon VT,43.8792955,-73.0643011,http://www.dunmoreacres.net/,,info@dunmoreacres.net
147,Echo Lake Inn,2 Dublin Rd,,Ludlow,VT,05149,2 Dublin Rd Ludlow VT,43.465443,-72.703705,,(802) 228-8602,
148,Econo Lodge,287 S. Main St,,St. Albans,VT,05478,287 S. Main St St. Albans VT,44.795184,-73.092969,http://www.econolodge.com/ires/en-US/html/CitySearch?placename=saint_albans&state=VT&country=US&chain=E&source=gegf555,(802) 524-5956,
149,Elley-Long Music Center,233 Ethan Allen Ave,,Colchester,VT,05439,233 Ethan Allen Ave Colchester VT,44.5030392,-73.1512633,,,
150,Elliot House Bed & Breakfast,5779 Dorset St,,Shelburne,VT,05482,5779 Dorset St Shelburne VT,44.386471,-73.175728,http://www.elliothouse.com,(802) 985-2727,
151,Elmore State Park,856 VT Route 12,,Lake Elmore,VT,05657,856 VT Route 12 Lake Elmore VT,44.5430409,-72.5332159,,(802) 888-2982,
152,Emerson Guest House,82 Main St,,Vergennes,VT,05491,82 Main St Vergennes VT,44.170177,-73.249573,http://www.emersonhouse.com/,(802) 877-6900,
153,Emily's,434 Edson Hill Rd,,Stowe,VT,05672,434 Edson Hill Rd Stowe VT,44.494583,-72.72583,http://www.stowehofinn.com/,(802) 253-9722,fo@stowehofinn.com
154,Esox,194 Main St,,Burlington,VT,05401,194 Main St Burlington VT,44.476166,-73.211636,,(802) 862-7314,
155,Essex Country Club,332 Old Stage Rd,,Essex Junction,VT,05452,332 Old Stage Rd Essex Junction VT,44.554778,-73.068689,http://www.essexccvt.com/,(802) 879-3232,
156,Essex Teen Center aka The Stomping Ground,2 Lincoln St,,Essex Junction,VT,05452,2 Lincoln St Essex Junction VT,44.4906201,-73.1112026,,(802) 878-6988,
157,Estabrook House Bed And Breakfast,1596 Main St,,St Johnsbury,VT,05819,1596 Main St St Johnsbury VT,44.423801,-72.017242,http://www.estabrookhouse.com/,(802) 751-8261,innkeeper@estabrookhouse.com
158,Fairhill Bed & Breakfast,724 E Munger St,,Middlebury,VT,05753,724 E Munger St Middlebury VT,44.0434569,-73.103859,http://www.innsite.com/inns/A000698.html,,
